;title_aline;day_youtube_aline
0; CNN TONIGHT: LUXÚRIA – 07/01/2021;2021-07-20
1; CNN TONIGHT: PORNOGRAFIA – 25/02/2021;2021-07-20
2; CNN TONIGHT: CIÚMES – 12/11/2020;2021-07-20
3; CNN TONIGHT: HYPE DA ORGANIZAÇÃO – 11/02/2021;2021-07-20
4; CNN TONIGHT: ESPÍRITO ESPORTIVO – 04/02/2021;2021-07-20
5; CNN TONIGHT: POR QUE PRECISAMOS DE GURUS? – 03/02/2021;2021-07-20
6; FLOW PODCAST - Podpah #84;2021-07-20
7; THIAGO VENTURA - Podpah #12;2021-07-20
8; EMICIDA - Podpah #171;2021-07-19
9; Mais que 8 Minutos #052 (GAULES);2021-07-19
10; Mais que 8 Minutos #058 (Pirulla);2021-07-19
11; ELA CONHECE TODOS OS ESCÂNDALOS DA FAMIÍLIA BOLSONARO!;2021-07-19
12;" ""NÃO PODEMOS TER UMA CONSTRUÇÃO DE PROJETO NACIONAL SEM A SUSTENTABILIDADE"" - GPS Político";2021-07-19
13; GREG NEWS | SENTIU;2021-07-19
14; CNN TONIGHT: SOLTEIRICE– 21/01/2021;2021-07-19
15; Tame Impala - The Less I Know the Better (Official Audio);2021-07-18
16; Of Monsters And Men - Little Talks (Official Video);2021-07-18
17; X Ambassadors - Renegades (Lyric Video);2021-07-18
18; KALEO - Way Down We Go (Official Music Video);2021-07-18
19; Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video);2021-07-18
20; The Lumineers - Sleep On The Floor (Official Video);2021-07-18
21; The Lumineers - Ophelia;2021-07-18
22; Edward Sharpe & The Magnetic Zeros - Home (Official Video);2021-07-18
23; Daft Punk ft. Julian Casablancas - Instant Crush (Official Video);2021-07-18
24; Kings Of Leon - Sex on Fire (Official Video);2021-07-18
25; Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video];2021-07-18
26; Harry Styles - Sign of the Times (Official Video);2021-07-18
27; Of Monsters And Men - Dirty Paws (Official Lyric Video);2021-07-18
28; P!nk - Just Give Me A Reason ft. Nate Ruess;2021-07-18
29; Riptide;2021-07-18
30; Kings Of Leon - Use Somebody (Official Video);2021-07-18
31; The Lumineers - Ho Hey (Official Video);2021-07-18
32; Hozier - Take Me To Church;2021-07-18
33; Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO];2021-07-18
34; Elvis Presley - Can't Help Falling In Love (Audio);2021-07-18
35; Elvis Presley Always on my mind (tradução);2021-07-18
36; Don't Let Me Down;2021-07-18
37; Love On The Brain;2021-07-18
38; Cheap Thrills;2021-07-18
39; Starboy;2021-07-18
40; Tove Lo - Habits (Stay High) - Hippie Sabotage Remix;2021-07-18
41; Swimming Pools (Drank);2021-07-18
42; Fake Love;2021-07-18
43; Bitch, Don’t Kill My Vibe;2021-07-18
44; 21 Savage - a lot (Official Video) ft. J. Cole;2021-07-18
45; HUMBLE.;2021-07-18
46; goosebumps;2021-07-18
47; Froid part. Cynthia Luz  - Bicho de 7 Cabeças/A Culpa é das Igrejas [Ep. 123 ] [ Prod. Leo Casa 1 ];2021-07-18
48; Paramore cover Drake's Passionfruit in the Live Lounge;2021-07-18
49; Me Desculpa Jay Z;2021-07-18
50; Emicida - Hoje cedo (Feat. Pitty);2021-07-18
51; 06. Baco Exu do Blues - Flamingos (ft. Tuyo);2021-07-18
52; AmarElo (Sample: Sujeito de Sorte - Belchior);2021-07-18
53; Money Trees;2021-07-18
54; Mac Miller - Self Care (Official Music Video);2021-07-18
55; J. Cole - G.O.M.D. (Video);2021-07-18
56; Die For You;2021-07-18
57; Hold On, We're Going Home;2021-07-18
58; Passionfruit;2021-07-18
59; Black Pumas - Colors (Official Live Session);2021-07-18
60; The Weeknd - I Feel It Coming ft. Daft Punk (Official Video);2021-07-18
61; The Weeknd - The Hills (Official Video);2021-07-18
62; The Weeknd - Save Your Tears (Official Music Video);2021-07-18
63; The Weeknd - Blinding Lights (Official Audio);2021-07-18
64; Future - Life Is Good (Official Music Video) ft. Drake;2021-07-18
65; Travis Scott - SICKO MODE ft. Drake;2021-07-18
66; No Role Modelz;2021-07-18
67; Travis Scott - BUTTERFLY EFFECT;2021-07-18
68; Travis Scott - SICKO MODE (Audio);2021-07-18
69; WILLOW -  t r a n s p a r e n t s o u l ft. Travis Barker (Official Music Video);2021-07-18
70; Arctic Monkeys - Do I Wanna Know?  (Live);2021-07-18
71; Red Hot Chili Peppers - Scar Tissue [Official Music Video];2021-07-18
72; The Strokes - Heart In A Cage (Official Music Video);2021-07-18
73; The Strokes - The Adults Are Talking (Audio);2021-07-18
74; The Black Keys - Lonely Boy [Official Music Video];2021-07-18
75; Foo Fighters - The Pretender;2021-07-18
76;" Heartless Bastards - ""Only For You""";2021-07-18
77; The Strokes - Someday (Official Music Video);2021-07-18
78; Florence + The Machine - Dog Days Are Over (2010 Version);2021-07-18
79; The Strokes - Reptilia (Official Music Video);2021-07-18
80; Red Hot Chili Peppers - Dark Necessities [Official Music Video];2021-07-18
81; The Strokes - Last Nite (Official Music Video);2021-07-18
82; The Strokes - You Only Live Once (Official Music Video);2021-07-18
83; The Verve - Bitter Sweet Symphony (Official Music Video);2021-07-18
84; COMENTANDO MIMIMI DE MACHO PALESTRINHA - Nunca Te Pedi Nada;2021-07-17
85; COMENTANDO MIMIMI DE MACHO COM NOJINHO #02 - Nunca Te Pedi Nada;2021-07-17
86; COMENTANDO MIMIMI DE MACHO FASCISTA - Nunca Te Pedi Nada;2021-07-17
87; COISAS QUE AS MULHERES SÓ FAZEM NAS PROPAGANDAS - Nunca Te Pedi Nada;2021-07-16
88; ANALISANDO CAPAS ANTIGAS CLOSE ERRADO DE REVISTAS TEEN  - Nunca Te Pedi Nada;2021-07-16
89; Easter Eggs das minhas edições c/ Merida e Seu Antenor | GAVETA;2021-07-16
90; LOKI, o mentiroso que não sabe mentir | Review de ANTENOR & GERALDO;2021-07-16
91; Mais que 8 Minutos #089 (Vivi Tomasi);2021-07-16
92; Nós Estamos Vivendo em um Multiverso?;2021-07-16
93; O Big Bang Explicado;2021-07-16
94; Uma Breve História do Átomo;2021-07-16
95; GREG NEWS | SERGIO MORO;2021-07-16
96; GREG NEWS | COACH;2021-07-16
97;" ""JÁ IMAGINOU MAIS SEIS ANOS DE GOVERNO BOLSONARO?"" - GPS Político com Fernando Haddad";2021-07-16
98;" ""LUTAR POR TETO É SER EXTREMISTA?"" - GPS Político com Boulos";2021-07-16
99; “EXISTE UM ESTOQUE DE PROBLEMAS ANCESTRAIS QUE HERDAMOS DA ESCRAVIDÃO” - GPS Político com Ciro Gomes;2021-07-16
100;" ""EM MOMENTOS DE CRISE PRESTEM ATENÇÃO NA PALAVRA NOVA"" - GPS Político com Marina Silva";2021-07-16
101;" ""CHEGOU A HORA DA AUDÁCIA DOS QUE TÊM BOM SENSO"" - GPS Político com Renato Casagrande";2021-07-16
102;" ""NO BRASIL PARECE QUE O EMPREENDEDOR É CULPADO ATÉ QUE SE PROVE O CONTRÁRIO"" - GPS Político";2021-07-16
103; ELA CONHECE TODOS OS ESCÂNDALOS DA FAMIÍLIA BOLSONARO!;2021-07-16
104; O BRINQUEDO QUE A GRETCHEN NUNCA TEVE - CAÇADORA DE BRINQUEDOS s01e04 - Nunca Te Pedi Nada;2021-07-16
105; VIDEOGAME RETRÔ DA SAMIRA CLOSE - CAÇADORA DE BRINQUEDOS s01e03 - Nunca Te Pedi Nada;2021-07-16
106; RESTAURANDO O BRINQUEDO DA NÁTALY NERI - CAÇADORA DE BRINQUEDOS s01e02 - Nunca Te Pedi Nada;2021-07-16
107; BRINQUEDOS DO DIVA DEPRESSÃO - CAÇADORA DE BRINQUEDOS s01e01 - Nunca Te Pedi Nada;2021-07-16
108; JOGUEI O JOGO MAIS CLOSE ERRADO DO MUNDO - Nunca Te Pedi Nada;2021-07-16
109; PERGUNTAS Q FAZEM P/ UMA PESSOA INDÍGENA feat. Wariu - Nunca Te Pedi Nada;2021-07-15
110; COMO DESCOBRI QUE PRECISAVA IR AO PSIQUIATRA - ANSIEDADE E DEPRESSÃO - Nunca Te Pedi Nada;2021-07-15
111; Konohamaru descobre que Orochimaru é o pai de Mitsuki e Tsunade fica com raiva;2021-07-15
112; TOP 10 Brigas na Chuva;2021-07-15
113; Top 10 Chorões;2021-07-15
114; Top 10 Quebras de 4ª Parede;2021-07-15
115; Top 10 quedas mortais;2021-07-15
116; Top 10 Piores pais;2021-07-15
117; Top 10 Super Vilões ( No universo cinematográfico dos quadrinhos );2021-07-15
118; Top 10 filmes que achamos que seriam bons;2021-07-15
119; Garimpando filmes!;2021-07-15
120; Brütal Legend - O poder do heavy metal;2021-07-15
121; KID BENGALA [+ EMME WHITE] - Flow Fodcast #413;2021-07-15
122; HOMEM TEM MEDO de MULHER!;2021-07-15
123; BOULOS X COVAS: PASSAMOS A ESTRANHAR DEBATES PROPOSITIVOS?;2021-07-15
124; QUAL RECADO OS BOLSONARISTAS RECEBERAM DAS URNAS?;2021-07-15
125; QUEM SAI GANHANDO NA BRIGA DE FOICE DAS DIREITAS BRASILEIRAS?;2021-07-15
126; OS MELHORES PIORES MOMENTOS DO DISCURSO DO PRESIDENTE NA ONU;2021-07-15
