;address;name_location;latitude;longitude
1;Av. Gen. Carneiro, 914 - Centro Sorocaba - ;DIA Supermercado;-23.503967;-47.4771406
3;R. Visc. do Rio Branco, 1274 - Vila Jardini Sorocaba - ;Condomínio Residencial Nova Manchester;-23.5150287;-47.4743588
5;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
9;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
11;R. Benedito Camargo Santos, 189 - Vila Trujillo Sorocaba - ;UNION Empresarial;-23.4952393;-47.4717485
13;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
15;Av. Antônio Carlos Comitre, 475 - Parque Campolim Sorocaba - ;Padaria Real Conveniência;-23.5199263;-47.4642169
16;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
18;Av. das Pitangueiras, 220 Votorantim - ;Villa Flora Votorantim;-23.5574592;-47.479531
20;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
22;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
24;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
26;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
28;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
30;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
32;R. Visc. do Rio Branco, 118 - Cerrado Sorocaba - ;Rede Bom Lugar;-23.5056608;-47.4785353
34;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
36;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
38;R. Martinica, 112 - Jardim America Sorocaba - ;Construtora Verônica;-23.5197453;-47.468969
40;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
42;R. Martinica, 112 - Jardim America Sorocaba - ;Construtora Verônica;-23.5197453;-47.468969
44;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
46;Av. Antônio Carlos Comitre, 475 - Parque Campolim Sorocaba - ;Padaria Real Conveniência;-23.5199263;-47.4642169
48;Rua Professor Sylla Mattos, 772 - Jardim Santa Cruz (Sacoma) São Paulo - ;Bela santa Cruz pães e doce;-23.6410212;-46.6006605
50;Rua Olympia Semeraro, 675 - Jardim Santa Emilia São Paulo - ;Whirlpool;-23.6443587;-46.5957212
52;Praça Dr. João Mendes, s/n - Liberdade São Paulo - ;Fórum João Mendes Junior;-23.5526732;-46.6340426
54;Rodovia Presidente Castelo Branco, 29 km Jardim Maria Cristina Barueri - ;Graal Barueri;-23.5092608;-46.911269
56;Rod. Pres. Castello Branco, 2410 Araçariguama - ;Rod. Pres. Castello Branco, 2410;-23.4640094;-47.0294638
58;Avenida Professora Izoraida Marques Peres - Parque Campolim Sorocaba - ;LR CONSERTOS;-23.5331668;-47.4635677
60;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
62;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
64;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
66;Avenida Professora Izoraida Marques Peres - Parque Campolim Sorocaba - ;LR CONSERTOS;-23.5331668;-47.4635677
68;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
70;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
72;Jardim America Sorocaba - ;R. João Crespo Lopes, 350-400 - Jardim America, Sorocaba - SP, 18046-785, Brasil;-23.5181325;-47.4707766
74;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
76;Av. Dr. Afonso Vergueiro, 1700 - Centro Sorocaba - ;Sorocaba Shopping;-23.4965079;-47.4675713
78;R. Benedito Camargo Santos, 189 - Vila Trujillo Sorocaba - ;UNION Empresarial;-23.4952393;-47.4717485
80;R. Domingos Fernandes, 150 - Vila Trujillo Sorocaba - ;R. Domingos Fernandes, 150;-23.4935163;-47.4700387
82;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
86;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
88;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
90;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
92;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
94;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
96;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
98;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
100;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
104;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
106;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
108;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
110;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
112;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
114;Av. Antônio Carlos Comitre, 290 - Parque Campolim Sorocaba - ;DrogaRaia;-23.5189183;-47.464619
116;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
118;Av. Dr. Afonso Vergueiro, 823 - Centro Sorocaba - ;Pátio Cianê Shopping;-23.4963889;-47.46
120;R. Benedito Camargo Santos, 189 - Vila Trujillo Sorocaba - ;UNION Empresarial;-23.4952393;-47.4717485
122;Av. Dr. Afonso Vergueiro, 823 - Centro Sorocaba - ;Pátio Cianê Shopping;-23.4963889;-47.46
124;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
126;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
128;Av. Antônio Carlos Comitre, 80 - Parque Campolim Sorocaba - ;Sam's Club;-23.5173235;-47.4655103
130;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
132;R. Benedito Camargo Santos, 189 - Vila Trujillo Sorocaba - ;UNION Empresarial;-23.4952393;-47.4717485
134;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
136;R. Benedito Camargo Santos, 189 - Vila Trujillo Sorocaba - ;UNION Empresarial;-23.4952393;-47.4717485
138;Av. Dr. Afonso Vergueiro, 1700 - Centro Sorocaba - ;Sorocaba Shopping;-23.4965079;-47.4675713
140;Av. Dr. Afonso Vergueiro, 823 - Centro Sorocaba - ;Pátio Cianê Shopping;-23.4963889;-47.46
142;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
144;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
146;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
148;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
150;Praça Nova York, 150 - Jardim America Sorocaba - ;Hioki Sushi Campolim;-23.5176232;-47.4713251
152;R. Mascarenhas Camelo, 114 - Vila Santana Sorocaba - ;Frango Tropical;-23.4942307;-47.461432
154;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
156;Av. Gen. Carneiro, 1120 - Vila Lucy Sorocaba - ;Tauste General Carneiro;-23.5045376;-47.4792137
158;Av. Gen. Carneiro, 2400 - Jardim Vera Cruz Sorocaba - ;Posto Ipiranga;-23.5114142;-47.4890812
160;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
162;Jardim America Sorocaba - ;Super Posto JC;-23.5162506;-47.4659026
164;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
166;R. Assunção, 491 - Jardim America Sorocaba - ;Nova Esplanada Mercearia;-23.5199214;-47.4687643
168;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
170;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
172;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
174;R. Francisco Otaviano, 392 - Vila Haro Sorocaba - ;R. Francisco Otaviano, 392;-23.5014565;-47.4336301
176;Av. São Paulo, NUM 925 - Além Ponte Sorocaba - ;Caixa Econômica Federal;-23.4980419;-47.4431798
178;R. Visc. do Rio Branco, 1200 - Vila Jardini Sorocaba - ;R. Visc. do Rio Branco, 1200;-23.5147381;-47.4748611
180;R. João Crespo Lopes, 151 - Jardim America Sorocaba - ;R. João Crespo Lopes, 151;-23.5171261;-47.4704781
182;Jardim America Sorocaba - ;R. João Crespo Lopes, 350-400 - Jardim America, Sorocaba - SP, 18046-785, Brasil;-23.5181325;-47.4707766
184;Pç Nove de Julho, 121 - Centro Sorocaba - ;Pç Nove de Julho, 121;-23.5034619;-47.4682579
