;artistNameInaja;trackNameInaja;msPlayed;date
0;Wry;Man in the Mirror - Electropaulo Rmx;68943;2021-03-25
1;Vintage Culture;Várias Queixas - Radio Edit;155702;2021-03-25
2;Cypress Hill;Champion Sound;183560;2021-03-25
3;Rita Benneditto;Com o Afeto das Canções;92897;2021-03-25
4;Rodrigo Sha;Do Guarani Ao Guaraná;8340;2021-03-25
5;Cypress Hill;Champion Sound;43820;2021-03-25
6;David Bowie;Strangers When We Meet - Live at the National Exhibition Centre, Birmingham, 13th December, 1995;55450;2021-03-25
7;Alceu Valença;Sem Pensar No Amanhã;156250;2021-03-25
8;Pato Fu;Made In Japan / Capetão 66.6 FM (Ao Vivo);123949;2021-03-25
9;Erasure;Ave Maria;484708;2021-03-25
10;Erasure;Ave Maria;14150;2021-03-25
11;Bakers;Fantasy;35751;2021-03-25
12;Erasure;Solsbury Hill - 2009 Remastered Version;168340;2021-03-25
13;Queen;Under Pressure - Remastered 2011;248440;2021-03-25
14;Elton John;I'm Still Standing;183439;2021-03-25
15;U2;I Still Haven't Found What I'm Looking For;25169;2021-03-25
16;Tina Turner;What's Love Got to Do with It;226860;2021-03-25
17;a-ha;Take on Me;12001;2021-03-25
18;Phil Collins;Against All Odds (Take a Look at Me Now) - 2016 Remaster;2392;2021-03-25
19;Michael Jackson;Billie Jean;2707;2021-03-25
20;The Police;Every Breath You Take;4708;2021-03-25
21;Whitney Houston;I Wanna Dance with Somebody (Who Loves Me);291272;2021-03-25
22;Bryan Adams;Summer Of '69;72114;2021-03-25
23;Queen;Another One Bites The Dust - Remastered 2011;214646;2021-03-25
24;Pretenders;Don't Get Me Wrong - 2007 Remaster;227626;2021-03-25
25;David Bowie;Modern Love - 2018 Remaster;253530;2021-03-25
26;David Bowie;Modern Love - 2018 Remaster;34794;2021-03-25
27;The Cure;Close To Me;203266;2021-03-25
28;Tina Turner;Let's Stay Together - 2015 Remaster;108880;2021-03-25
29;Tina Turner;Let's Stay Together - 2015 Remaster;207412;2021-03-25
30;Tears For Fears;Woman In Chains;390886;2021-03-25
31;Tracy Chapman;Baby Can I Hold You;193098;2021-03-25
32;Erasure;A Little Respect - 2009 - Remaster;213986;2021-03-25
33;Queen;Crazy Little Thing Called Love - Remastered 2011;163373;2021-03-25
34;The Cure;Boys Don't Cry;154646;2021-03-25
35;Billy Idol;Eyes Without A Face - Remastered;297426;2021-03-25
36;Sade;Smooth Operator - Single Version;258671;2021-03-25
